n,tiempo_c_segundos,tiempo_python_segundos,factor_python_sobre_c,resultado_c,resultado_python,diferencia_numerica
1000000,0.001897,0.024800853666666667,13.073723598664559,14.392726722865,14.392726722865,0.0
2000000,0.0027103333333333333,0.05314621,19.608735702865577,15.085873653425,15.085873653425,0.0
5000000,0.0061340000000000006,0.12278271666666667,20.01674546244973,16.002164235299,16.002164235299,0.0
10000000,0.010108333333333332,0.23773076766666668,23.51829523495466,16.695311365857,16.695311365857,0.0
20000000,0.022954,0.4632039276666666,20.179660523946442,17.388458521417,17.388458521417,0.0
